FID,Filename,Path,Row,Date,Shape_Leng,Shape_Area
130,p032_r043_l7_20011028,032,043,20011028,5.639323692580000,1.549942569840000
131,p032_r044_l7_20011028,032,044,20011028,5.216685210090000,0.721327721287000
132,p033_r043_l7_19991014,033,043,19991014,1.146665725930000,0.048316171505300
133,p028_r046_l7_19991027,028,046,19991027,2.623745252370000,0.295248307503000
134,p028_r047_l7_19991128,028,047,19991128,5.587297924880000,1.461581154540000
135,p028_r048_l7_19991128,028,048,19991128,2.797062733260000,0.184095696769000
136,p029_r046_l7_19991103,029,046,19991103,4.515438534000000,0.744090516481000
137,p029_r047_l7_19991205,029,047,19991205,5.756338720510000,1.498767668930000
138,p030_r046_l7_19991126,030,046,19991126,3.845041933890000,0.632586345374000
139,p030_r047_l7_19991126,030,047,19991126,2.493634745210000,0.214157598130000
140,p034_r038_l7_20000719,034,038,20000719,5.706714966140000,1.576561909250000
141,p034_r039_l7_19991021,034,039,19991021,5.379486783180000,1.515094108900000
142,p035_r038_l7_20000912,035,038,20000912,7.023472781580000,2.232685252280000
143,p035_r039_l7_20000912,035,039,20000912,5.770191466310000,1.593134675890000
144,p036_r038_l7_20000903,036,038,20000903,6.999806834990000,2.218683483120000
145,p036_r039_l7_20000903,036,039,20000903,5.835127938250000,1.586339354480000
146,p037_r038_l7_20000419,037,038,20000419,6.673436843540000,2.116421549830000
147,p037_r039_l7_20001113,037,039,20001113,3.550248249640000,0.462008636270000
148,p038_r038_l7_20000410,038,038,20000410,2.708151743340000,0.252716409955000
149,p033_r040_l7_19991014,033,040,19991014,4.026991408590000,0.436059306907000
150,p033_r041_l7_19991014,033,041,19991014,4.654326311770000,0.939533998784000
151,p033_r042_l7_19991014,033,042,19991014,5.478508925150000,1.527389662990000
152,p033_r043_l7_19991014,033,043,19991014,1.193723335620000,0.074970354945300
153,p034_r039_l7_19991021,034,039,19991021,3.682269013850000,0.449911674180000
154,p034_r040_l7_19991021,034,040,19991021,7.011183963930000,2.395522305380000
155,p034_r041_l7_20011026,034,041,20011026,6.129336653590000,1.961257133210000
156,p034_r042_l7_20001108,034,042,20001108,3.581913524510000,0.431402301496000
157,p034_r043_l7_20011026,034,043,20011026,1.347095371260000,0.083090869472800
158,p035_r039_l7_20000912,035,039,20000912,3.859829798960000,0.504867361386000
159,p035_r040_l7_20000912,035,040,20000912,7.074104735190000,2.373149905610000
160,p035_r041_l7_19990926,035,041,19990926,5.027988655630000,0.796513281420000
161,p035_r042_l7_20011017,035,042,20011017,5.779570180520000,1.485232861340000
162,p035_r043_l7_20011017,035,043,20011017,3.359106002210000,0.413384012619000
163,p036_r039_l7_20000903,036,039,20000903,3.892572498280000,0.477639557024000
164,p036_r040_l7_20000903,036,040,20000903,7.115381969960000,1.793275364750000
165,p036_r041_l7_20001005,036,041,20001005,6.563893292300000,1.583758066470000
166,p036_r042_l7_20001005,036,042,20001005,3.856847880510000,0.538485805493000
167,p037_r039_l7_20001113,037,039,20001113,0.994665231871000,0.051260054430200
168,p037_r040_l7_20001113,037,040,20001113,4.978081437590000,1.314327093890000
169,p037_r041_l7_20010201,037,041,20010201,4.508910988730000,0.935706025386000
170,p033_r043_l7_19991014,033,043,19991014,1.149422140320000,0.052424296983400
171,p033_r044_l7_19991014,033,044,19991014,5.201443957820000,0.981002673561000
172,p034_r043_l7_20011026,034,043,20011026,4.800381688660000,0.898922294354000
173,p034_r044_l7_20011026,034,044,20011026,4.827125967830000,1.019159880380000
174,p035_r043_l7_20011017,035,043,20011017,4.524774469370000,0.913368181141000
175,p034_r047_l7_20000125,034,047,20000125,1.574052150220000,0.037775087061800
176,p038_r037_l7_20000426,038,037,20000426,5.533797597410000,1.625442053870000
177,p038_r038_l7_20000410,038,038,20000410,6.174737513720000,1.711393935510000
178,p038_r039_l7_20010413,038,039,20010413,4.931535501390000,1.307296612880000
179,p039_r037_l7_20000503,039,037,20000503,5.829957697450000,2.037129836870000
180,p039_r038_l7_20010506,039,038,20010506,5.703968232990000,2.092645720660000
181,p039_r039_l7_20010420,039,039,20010420,3.314404510820000,0.517494266430000
182,p040_r037_l7_20000424,040,037,20000424,4.680311227330000,1.161070807440000
183,p040_r038_l7_19991031,040,038,19991031,1.343191523600000,0.072179627516500
184,p037_r040_l7_20001113,037,040,20001113,4.059125085430000,0.595418502136000
185,p037_r041_l7_20010201,037,041,20010201,3.760020337950000,0.666923363166000
186,p038_r039_l7_20010413,038,039,20010413,3.509177173840000,0.447648506249000
187,p038_r040_l7_20010413,038,040,20010413,6.341799962430000,0.561235588954000
188,p038_r041_l7_19990713,038,041,19990713,2.085926118130000,0.145754001627000
189,p039_r039_l7_20010420,039,039,20010420,1.267804323830000,0.052136573735100
190,p040_r040_l7_20010326,040,040,20010326,0.912815695091000,0.037810886536600
